timestamp,open,high,low,close,volume
2023-01-01,25043.78,25320.34,24617.24,25000.0,8009.51
2023-01-02,25318.21,25508.62,25213.0,25286.11,1663.16
2023-01-03,25145.79,25270.8,25068.73,25222.68,2702.55
2023-01-04,25495.63,25680.61,24983.15,25595.95,8114.54
2023-01-05,26344.87,26613.06,26262.23,26468.09,7251.69
2023-01-06,26447.43,26465.33,26194.58,26347.18,5682.69
2023-01-07,26362.41,26474.15,25798.54,26227.27,2707.01
2023-01-08,27242.46,27594.3,27032.0,27154.64,3786.26
2023-01-09,27632.82,27854.32,27528.92,27630.3,5083.36
2023-01-10,27293.46,27430.0,27044.1,27362.86,4191.92
2023-01-11,27718.53,27777.88,27674.77,27707.7,1512.83
2023-01-12,27300.32,27533.58,27168.16,27444.12,5846.47
2023-01-13,27266.98,27432.3,27024.8,27182.1,3678.46
2023-01-14,27296.63,27878.68,27259.5,27346.23,1886.22
2023-01-15,26078.79,26233.91,25976.43,26215.16,7097.28
2023-01-16,25130.83,25559.0,25010.79,25239.94,1787.16
2023-01-17,24846.47,25064.4,24738.01,24946.98,4565.55
2023-01-18,24369.2,24612.66,24316.43,24410.55,6714.27
2023-01-19,24580.77,24785.21,24447.65,24598.73,2776.46
2023-01-20,24198.98,24629.48,23822.28,24127.29,7419.07
2023-01-21,23365.0,23400.61,23197.96,23397.6,5239.54
2023-01-22,24060.64,24190.25,24028.69,24171.76,3122.56
2023-01-23,23968.25,24182.02,23870.15,24072.45,4656.83
2023-01-24,24243.3,24484.08,24035.17,24129.25,2945.23
2023-01-25,23323.79,23469.97,23041.23,23394.39,7246.59
2023-01-26,23091.54,23209.79,22853.34,23135.38,1649.01
2023-01-27,23137.7,23295.69,22958.71,23213.12,5446.59
2023-01-28,22699.73,22876.12,22351.3,22647.02,3150.3
2023-01-29,22768.39,22907.09,22737.2,22855.72,3613.56
2023-01-30,22565.46,22726.66,22532.86,22575.75,5104.46
2023-01-31,22323.15,22927.84,22003.03,22452.99,7761.95
2023-02-01,22233.24,22337.97,22133.69,22178.09,5150.84
2023-02-02,23083.18,23314.88,23049.19,23104.21,7495.97
2023-02-03,23107.34,23139.49,22637.76,23120.98,3509.0
2023-02-04,22486.15,22701.69,22292.45,22606.93,557.6
2023-02-05,22993.75,23147.2,22836.67,23039.78,7517.18
2023-02-06,22404.11,22862.22,22176.04,22445.5,3949.04
2023-02-07,22498.24,22720.64,22295.01,22572.84,1871.1
2023-02-08,21623.88,21650.09,21484.72,21624.31,3218.46
2023-02-09,21036.67,21063.1,20845.32,21016.34,7767.66
2023-02-10,21041.78,21218.21,20906.69,21130.87,8245.59
2023-02-11,21498.64,21526.94,21381.54,21498.07,6125.99
2023-02-12,21528.51,21629.52,21508.67,21603.72,1983.91
2023-02-13,21453.77,21600.5,21010.22,21573.75,1036.99
2023-02-14,21527.0,21717.04,21217.72,21456.06,3906.38
2023-02-15,20758.76,21225.67,20562.97,20783.51,1882.22
2023-02-16,20568.08,20601.46,20454.62,20479.18,2618.48
2023-02-17,20331.4,20417.09,20237.57,20296.33,1694.25
2023-02-18,20846.95,20858.53,20778.22,20793.06,2209.67
2023-02-19,20908.11,20980.83,20891.54,20975.8,1886.56
2023-02-20,20225.23,20246.29,20131.59,20188.23,2357.87
2023-02-21,20411.73,20449.06,20319.21,20357.43,3553.11
2023-02-22,20251.43,20292.29,20104.4,20210.66,7339.06
2023-02-23,19818.9,20084.89,19552.6,19935.4,7531.42
2023-02-24,20306.31,20591.9,20028.34,20229.25,3449.71
2023-02-25,20736.71,20871.98,20588.92,20714.26,3601.54
2023-02-26,21178.88,21418.14,20868.76,21165.66,7651.44
2023-02-27,20868.49,20959.18,20640.95,20802.68,6663.38
2023-02-28,20670.13,20693.82,20313.41,20688.69,2451.63
2023-03-01,20776.73,20979.26,20561.64,20867.03,2630.32
2023-03-02,21219.53,21360.09,20941.28,21342.87,4871.62
2023-03-03,21185.13,21278.49,21067.33,21146.7,590.94
2023-03-04,20997.17,21177.97,20723.77,21089.07,5679.07
2023-03-05,20524.34,20863.48,20498.28,20604.61,3478.67
2023-03-06,20095.27,20224.91,20034.78,20090.71,5032.76
2023-03-07,20415.06,20510.17,20165.4,20477.64,3244.98
2023-03-08,21172.63,21307.52,21020.16,21117.12,4155.97
2023-03-09,21154.67,21450.86,21097.11,21113.21,2145.24
2023-03-10,21487.45,21639.97,21382.42,21609.02,925.56
2023-03-11,21810.52,22076.55,21515.7,21811.47,6284.03
2023-03-12,21431.21,21702.91,21400.23,21532.87,4375.42
2023-03-13,21783.91,21842.13,21463.88,21734.77,6763.42
2023-03-14,22582.18,22654.25,22305.52,22501.33,5068.34
2023-03-15,22478.39,22683.38,22240.74,22515.95,4625.17
2023-03-16,23427.88,23470.1,23171.12,23323.5,5635.67
2023-03-17,22063.85,22172.8,21933.16,22013.06,4247.67
2023-03-18,22368.03,22556.75,22221.07,22443.11,774.79
2023-03-19,22572.18,22596.29,22438.37,22518.83,7930.44
2023-03-20,22523.1,22561.32,22201.3,22403.66,7125.59
2023-03-21,22432.97,22496.23,22180.24,22481.77,1428.64
2023-03-22,21422.51,21618.12,21242.93,21531.81,6176.82
2023-03-23,21347.6,21678.92,21276.77,21459.53,6698.74
2023-03-24,21612.76,21994.24,21462.39,21659.87,5208.04
2023-03-25,22324.45,22446.93,22196.63,22396.22,6657.27
2023-03-26,22306.62,22314.97,21957.15,22174.13,3682.48
2023-03-27,21807.45,21931.98,21646.94,21812.72,7895.85
2023-03-28,21674.0,21728.25,21313.77,21604.45,6187.21
2023-03-29,22002.6,22382.31,21949.56,22071.79,2720.86
2023-03-30,22209.99,22407.76,21865.57,22264.41,5706.81
2023-03-31,21963.73,22251.11,21934.51,22038.24,7285.25
2023-04-01,22439.21,22586.63,21907.67,22320.09,1827.59
2023-04-02,22533.24,22652.22,22192.05,22401.21,4550.05
2023-04-03,22838.12,23209.31,22743.26,22912.17,1947.37
2023-04-04,22668.45,22776.7,22503.01,22592.65,7976.77
2023-04-05,22567.13,22597.34,22396.57,22463.68,6414.73
2023-04-06,22356.06,22565.45,22242.28,22303.59,2224.39
2023-04-07,21547.27,21684.05,21139.56,21618.92,4979.25
2023-04-08,21685.34,21955.67,21622.13,21792.17,1529.06
2023-04-09,22052.37,22154.88,21854.53,21949.97,4804.27
2023-04-10,21876.33,22175.88,21568.79,21985.29,2545.22
2023-04-11,21963.43,22183.77,21757.35,21904.71,2197.52
2023-04-12,21302.1,21303.5,20663.47,21255.35,5030.02
2023-04-13,21172.53,21319.36,20866.99,21090.36,4890.83
2023-04-14,20904.15,21152.56,20863.9,20962.75,5560.02
2023-04-15,20710.69,20761.11,20557.0,20623.93,7005.71
2023-04-16,20630.12,20747.85,20415.3,20581.35,6261.87
2023-04-17,20709.59,21049.59,20647.99,20794.78,6275.46
2023-04-18,21600.12,21833.04,21527.55,21688.41,4446.24
2023-04-19,21674.52,21873.52,21531.88,21803.67,8231.31
2023-04-20,21994.0,22255.65,21826.93,21959.26,4607.47
2023-04-21,22029.22,22266.38,21908.66,21955.49,4681.99
2023-04-22,21177.77,21245.4,20857.07,21060.76,7823.13
2023-04-23,20978.61,21322.24,20949.01,21079.15,1047.27
2023-04-24,21087.2,21206.76,21025.82,21137.68,4959.26
2023-04-25,22272.47,22344.91,22186.76,22313.73,7140.63
2023-04-26,22377.88,22400.63,22186.1,22251.45,715.51
2023-04-27,22302.37,22525.35,22278.85,22431.0,6566.07
2023-04-28,22495.29,22860.76,22140.48,22445.92,8118.83
2023-04-29,21881.35,21971.97,21665.87,21900.75,6506.86
2023-04-30,22534.65,22566.62,22280.62,22482.4,2596.85
2023-05-01,23009.82,23249.76,22845.27,22886.0,7905.08
2023-05-02,23293.91,23530.31,23064.98,23316.37,2576.32
2023-05-03,23015.31,23319.21,22718.04,22882.41,2328.02
2023-05-04,23539.02,23659.38,23525.0,23620.34,3353.84
